bisai,host,guest
888561,1,1.0
888690,1,1.0
888691,1,1.0
888709,1,2.0
889082,3,2.0
888866,3,1.0
876287,0,9.0
876685,0,8.0
878391,1,1.0
883294,1,2.0
888692,2,2.0
888693,3,1.0
888696,3,4.0
888714,2,3.0
888863,1,0.0
888874,1,0.0
877404,2,2.0
878381,2,0.0
883571,2,1.0
886033,2,0.0
888349,1,1.0
888697,0,1.0
888698,4,0.0
888699,3,1.0
888701,1,3.0
888718,1,1.0
888870,0,2.0
853930,2,1.0
883871,1,2.0
888720,1,1.0
888721,1,3.0
878382,3,2.0
853925,1,2.0
874345,0,1.0
877288,4,1.0
878397,2,0.0
886041,1,2.0
886729,1,0.0
887359,0,0.0
876197,1,0.0
876199,1,2.0
877286,0,4.0
887864,1,0.0
888694,0,2.0
888711,1,0.0
888868,1,1.0
888872,0,3.0
888875,0,0.0
874356,1,2.0
876200,1,2.0
876213,1,3.0
878385,1,2.0
888448,3,3.0
888695,0,1.0
888710,4,3.0
888712,0,1.0
888713,0,3.0
888715,0,3.0
888716,2,0.0
888717,3,3.0
888873,0,6.0
888876,0,4.0
888878,1,2.0
888889,2,1.0
889083,0,6.0
853923,1,1.0
853924,1,0.0
853928,2,2.0
853929,2,1.0
871249,1,2.0
867963,1,1.0
876688,2,2.0
868883,0,0.0
885779,0,6.0
888325,1,1.0
888867,0,2.0
889086,0,0.0
885696,0,2.0
858296,3,3.0
858297,3,0.0
858300,2,1.0
858303,0,1.0
858304,0,0.0
858305,0,2.0
858307,3,2.0
858311,0,0.0
858313,3,2.0
885664,2,3.0
885661,1,1.0
885662,0,0.0
886089,3,0.0
876706,4,0.0
886088,4,0.0
886091,2,1.0
886090,2,1.0
876328,1,0.0
876686,5,0.0
863025,3,2.0
876305,1,1.0
877397,4,3.0
888328,3,0.0
889091,0,1.0
889092,9,0.0
889093,0,4.0
889122,2,1.0
889164,3,1.0
889360,0,2.0
889677,1,1.0
889723,1,1.0
877322,2,1.0
876359,4,0.0
877395,2,3.0
884625,2,1.0
888706,1,2.0
889095,0,0.0
889096,1,0.0
889343,1,1.0
889345,1,2.0
889346,0,1.0
889348,1,2.0
889673,4,0.0
874415,1,9.0
876194,0,2.0
881840,2,2.0
887914,1,2.0
889094,5,1.0
889352,2,4.0
877389,0,5.0
877390,0,1.0
885535,1,4.0
886738,2,1.0
889350,2,1.0
889351,4,0.0
889358,0,3.0
889359,0,3.0
889532,2,2.0
889722,2,3.0
878395,0,0.0
878399,3,1.0
878393,2,0.0
889097,0,0.0
889344,0,1.0
874321,0,5.0
876707,2,3.0
878403,0,3.0
886097,2,1.0
886726,1,1.0
889098,1,2.0
889353,0,4.0
889665,0,5.0
874320,0,0.0
874425,0,2.0
878383,3,4.0
888332,1,4.0
889099,1,0.0
889342,1,1.0
875179,1,3.0
878402,1,1.0
889100,1,3.0
889341,3,1.0
887437,1,3.0
889340,0,3.0
875920,2,2.0
887553,0,0.0
850117,1,1.0
874201,0,0.0
850118,2,0.0
876687,0,4.0
854278,1,0.0
854276,2,3.0
874241,2,1.0
875918,1,1.0
889733,3,0.0
885694,1,1.0
850119,1,0.0
850116,2,0.0
850120,5,0.0
850121,1,1.0
885540,2,0.0
888751,0,0.0
887368,1,1.0
890030,3,0.0
888748,1,0.0
888749,4,0.0
888750,1,2.0
889999,0,2.0
887380,1,1.0
881359,3,2.0
889674,2,1.0
889686,0,3.0
889691,3,1.0
889868,0,1.0
890029,0,2.0
887364,1,1.0
889869,2,0.0
856517,0,2.0
876683,1,2.0
887373,1,1.0
887378,0,0.0
887384,3,1.0
889693,4,1.0
887379,3,0.0
887383,1,2.0
887530,0,2.0
888346,3,2.0
889672,1,1.0
890022,1,1.0
890024,0,1.0
878506,2,1.0
886731,2,2.0
887374,1,0.0
887376,1,0.0
887385,1,0.0
887398,1,1.0
887407,1,1.0
889702,1,3.0
889870,0,1.0
889871,0,2.0
889872,5,1.0
887366,1,1.0
887375,1,1.0
878504,0,0.0
878505,2,2.0
887367,1,0.0
887401,2,0.0
887425,3,0.0
887365,0,0.0
887416,0,0.0
886732,0,0.0
887371,1,2.0
887382,2,0.0
889873,2,3.0
874329,0,2.0
887386,2,3.0
887387,0,3.0
887507,0,1.0
887548,3,0.0
889874,0,3.0
889882,0,1.0
887369,1,0.0
887399,3,3.0
888865,0,0.0
871246,3,0.0
874243,2,3.0
890011,1,1.0
890494,2,1.0
889982,2,1.0
877414,0,1.0
889983,3,1.0
889986,1,2.0
876304,1,1.0
885598,1,2.0
888345,0,0.0
889991,3,2.0
889992,2,0.0
890638,2,1.0
879108,0,2.0
854900,4,0.0
856516,2,1.0
875949,0,4.0
883543,0,0.0
888412,2,1.0
889085,0,3.0
889981,1,0.0
889996,5,2.0
889997,1,1.0
890009,0,0.0
890641,1,2.0
889984,0,0.0
890028,3,0.0
891799,4,2.0
846903,1,1.0
873903,1,1.0
877408,3,0.0
879093,4,0.0
879095,1,3.0
879097,6,0.0
879098,1,1.0
879105,1,0.0
879107,0,3.0
879109,2,2.0
879111,0,2.0
879112,2,2.0
883870,0,1.0
886774,0,0.0
887361,2,1.0
889985,2,2.0
889987,1,1.0
890314,1,1.0
890640,1,2.0
891802,1,2.0
879092,0,0.0
879094,0,3.0
879102,0,2.0
883899,0,0.0
884621,1,3.0
890007,2,2.0
890008,1,3.0
890315,0,3.0
891801,3,0.0
884618,2,0.0
890002,0,7.0
890020,1,2.0
875952,0,0.0
877314,2,4.0
876196,0,0.0
879110,1,3.0
888413,0,0.0
889738,0,1.0
890004,0,2.0
852976,2,1.0
852983,1,0.0
863860,4,0.0
889737,1,1.0
889994,1,3.0
890003,3,2.0
891803,1,2.0
863862,3,1.0
884620,1,0.0
875734,0,1.0
868884,1,1.0
875735,1,1.0
888681,1,0.0
868878,0,0.0
873514,1,2.0
878529,2,0.0
864586,0,6.0
850122,1,0.0
861676,10,2.0
864570,1,1.0
855773,0,1.0
891807,1,4.0
892144,1,1.0
892145,3,1.0
850963,3,1.0
850965,2,1.0
850966,2,0.0
850967,1,3.0
862304,1,1.0
862307,3,0.0
863244,1,0.0
863245,4,1.0
863246,2,0.0
863248,0,0.0
863249,2,2.0
860875,3,0.0
861302,0,3.0
862306,3,0.0
868375,0,1.0
892675,5,1.0
892677,3,1.0
865440,2,0.0
876352,2,0.0
876358,1,2.0
892143,1,4.0
859315,1,1.0
859317,2,1.0
859323,1,2.0
859335,0,2.0
859340,0,2.0
859348,1,0.0
859380,2,1.0
862323,4,3.0
865439,0,1.0
876330,0,2.0
876365,1,0.0
883616,0,0.0
889347,6,3.0
889740,0,1.0
890876,2,1.0
857671,1,1.0
859352,2,3.0
892129,0,0.0
856513,4,0.0
856515,1,2.0
856818,1,2.0
856819,3,2.0
856820,1,2.0
857001,2,1.0
857004,2,2.0
857664,0,1.0
857667,1,0.0
857668,1,0.0
859318,0,0.0
859327,1,0.0
859354,2,2.0
883292,0,8.0
862234,2,1.0
883611,0,1.0
887505,1,1.0
888860,3,1.0
890031,0,5.0
861308,3,1.0
861316,1,1.0
860878,0,1.0
860879,3,2.0
860880,0,3.0
860886,1,1.0
861307,2,1.0
861324,4,2.0
862232,2,0.0
876324,1,0.0
887504,0,0.0
889678,0,1.0
890878,0,2.0
891892,2,4.0
891894,0,1.0
892692,1,1.0
892694,3,2.0
