bisai_id,cold,win,draw,lose
1004626,big_cold,1.75,3.75,4.0
1004241,little_cold,13.9,8.0,1.34
958580,little_cold,1.77,4.2,6.0
1004409,little_cold,2.25,4.33,6.5
974451,normal,2.08,3.55,5.0
958637,big_cold,3.31,3.7,2.7
1000151,normal,1.65,5.4,23.0
973897,normal,5.7,3.8,2.1
1004571,normal,2.21,3.46,3.44
957780,normal,1.95,4.0,5.85
967500,normal,5.9,4.8,2.15
1004612,big_cold,3.74,3.6,2.22
1004236,little_cold,7.5,4.25,1.82
958589,big_cold,2.5,3.65,3.5
961733,normal,2.55,3.5,3.32
992937,normal,1.7,4.17,7.48
1004588,little_cold,1.25,7.0,14.0
954522,normal,2.27,3.4,4.71
974449,big_cold,2.81,3.15,3.3
957774,normal,3.95,3.5,2.38
1003527,big_cold,2.4,4.2,4.25
958701,little_cold,1.85,4.0,5.5
1004587,normal,1.5,4.95,7.5
958686,big_cold,5.8,4.4,1.74
958775,little_cold,2.65,3.57,3.1
1004672,normal,17.6,7.75,1.18
1004695,normal,2.28,3.6,3.78
1003479,normal,1.25,7.37,15.0
1004480,little_cold,1.74,5.5,7.25
958666,big_cold,2.5,3.65,3.8
958523,big_cold,2.54,3.6,3.45
955066,normal,4.2,3.6,2.4
958569,big_cold,1.7,4.3,6.8
1004627,normal,2.28,4.0,3.2
1004551,big_cold,3.59,4.0,2.25
1004669,normal,1.75,3.84,4.73
954567,normal,1.36,7.52,15.0
973904,big_cold,1.34,7.6,13.75
1004585,normal,2.3,3.8,3.0
973896,normal,1.86,4.2,5.25
961744,normal,8.5,4.2,1.83
974441,little_cold,2.25,3.35,4.08
958621,normal,2.25,4.0,5.5
957765,big_cold,2.3,3.75,4.4
971690,big_cold,4.0,3.11,2.6
958702,normal,1.8,4.15,5.42
961746,big_cold,2.25,3.55,3.68
957767,little_cold,2.35,3.7,4.08
979742,normal,1.95,3.64,4.64
992942,little_cold,4.82,3.6,2.05
954825,little_cold,5.5,3.8,2.59
1004579,big_cold,2.32,4.2,2.56
954547,little_cold,2.02,3.6,5.5
992034,normal,1.85,4.5,6.1
958769,big_cold,2.45,3.55,3.4
961743,normal,10.0,5.31,1.5
954852,big_cold,2.6,3.2,3.5
1004581,normal,2.61,3.6,2.52
1004552,little_cold,1.15,9.0,21.0
1001372,normal,2.4,3.54,4.2
1004416,big_cold,3.34,3.75,2.1
1004685,little_cold,4.54,4.5,1.65
958766,normal,2.9,3.6,3.1
958779,normal,1.99,3.75,4.8
962296,big_cold,2.76,3.7,2.85
958668,normal,2.1,4.0,5.6
1004484,normal,3.8,3.95,2.03
955115,little_cold,1.96,4.15,6.5
962207,normal,2.41,3.55,3.95
1004483,little_cold,1.45,5.09,7.19
962232,little_cold,2.09,3.85,5.3
1004603,normal,1.75,4.3,4.35
955100,normal,3.65,3.4,2.8
1003624,big_cold,3.0,4.2,2.26
1003770,big_cold,6.5,4.7,4.5
957784,big_cold,2.24,3.65,3.8
974440,normal,2.52,3.35,3.85
1003653,normal,1.2,9.0,15.5
1004668,normal,4.5,3.95,2.15
957782,little_cold,3.2,3.45,2.9
973905,normal,4.5,3.75,2.4
1004418,normal,1.4,6.0,8.4
1004584,normal,1.55,4.64,6.82
958676,big_cold,2.65,3.45,3.0
957763,little_cold,7.0,4.33,1.8
1004572,little_cold,1.18,8.0,19.0
1004589,normal,1.53,5.0,6.7
979739,little_cold,2.3,3.68,4.9
971520,little_cold,2.82,3.6,3.15
974448,normal,3.1,3.54,2.9
1004485,normal,1.66,4.6,6.0
954849,normal,1.86,4.12,7.0
979740,big_cold,2.52,3.4,3.72
954575,big_cold,2.66,3.5,3.15
1004602,little_cold,2.06,3.85,3.5
1004609,normal,7.7,4.95,1.67
1004665,big_cold,3.0,3.9,2.29
1001431,big_cold,2.36,3.65,4.15
1004550,little_cold,1.29,6.0,11.0
958651,little_cold,2.2,3.6,3.98
957791,normal,3.1,3.5,2.8
958582,normal,2.9,3.5,2.9
958635,little_cold,1.61,4.75,7.01
954574,little_cold,2.8,3.3,3.23
958723,normal,2.1,3.75,4.4
1004673,big_cold,2.54,3.58,2.84
1004608,normal,8.0,6.0,1.45
1004570,normal,3.8,3.94,2.15
1004613,normal,1.82,4.0,5.1
958610,normal,3.2,3.6,2.7
1004420,normal,1.75,4.0,5.11
958748,normal,2.45,3.6,3.35
1004417,normal,9.8,5.6,1.52
961745,big_cold,2.88,3.6,2.85
1004604,normal,4.0,4.33,1.74
1004580,normal,5.6,3.85,2.31
1004607,normal,1.35,6.0,9.5
992941,big_cold,2.6,3.2,3.35
992940,little_cold,1.82,3.72,5.27
962388,normal,2.23,3.75,4.35
958694,big_cold,2.75,3.5,3.0
1001380,normal,1.95,3.75,4.65
1001303,little_cold,2.3,4.05,4.85
1004569,normal,1.45,5.2,7.0
955366,normal,1.65,4.3,8.5
962099,normal,2.36,3.75,3.7
1004606,normal,1.65,6.1,9.5
1004625,normal,1.21,10.25,19.0
957776,normal,1.6,4.7,7.0
1004578,normal,1.33,7.0,11.79
967509,normal,3.8,3.3,3.55
957778,normal,3.0,3.45,3.0
954672,normal,2.32,3.5,5.09
957769,big_cold,2.6,3.4,3.25
958736,little_cold,2.8,3.55,3.0
962351,normal,2.3,3.65,4.99
954558,little_cold,1.41,6.82,14.0
1004670,little_cold,2.56,3.78,2.8
1003489,normal,1.36,6.1,12.75
817459,normal,1.08,50.54,126.0
944771,normal,2.07,3.5,4.79
952616,normal,4.15,3.24,2.7
944757,little_cold,4.6,3.5,2.54
817457,normal,25.0,8.75,1.29
932810,normal,1.97,3.45,5.2
932804,normal,1.97,3.64,5.4
941967,normal,2.2,4.0,5.5
944764,little_cold,2.16,3.48,4.5
938751,little_cold,4.45,3.6,2.23
817377,little_cold,2.63,3.3,3.6
944774,big_cold,2.47,3.3,3.65
887528,normal,25.45,7.75,1.27
944423,little_cold,1.95,3.8,5.2
944772,normal,2.31,3.41,4.85
930590,big_cold,2.2,3.85,4.8
941966,normal,1.62,4.5,6.9
817378,little_cold,2.12,3.7,6.0
929182,normal,2.32,3.65,3.8
929178,little_cold,1.73,4.5,6.67
817499,big_cold,4.11,3.5,2.17
930591,big_cold,2.21,3.7,4.15
932805,big_cold,2.12,3.4,4.65
944762,little_cold,3.1,3.4,2.69
944758,normal,1.37,6.5,19.0
932808,normal,3.1,3.28,3.0
940673,little_cold,2.55,3.4,3.45
817376,little_cold,3.4,3.31,2.7
932809,normal,2.6,3.29,3.54
941978,little_cold,1.82,4.05,5.5
817498,normal,5.4,3.53,2.03
817458,big_cold,2.31,3.5,3.97
941963,normal,1.83,4.33,6.0
941969,normal,1.96,3.85,4.55
932807,little_cold,2.59,3.28,3.7
932806,normal,2.73,3.23,3.4
952615,big_cold,2.6,3.55,3.5
893184,big_cold,2.05,3.65,4.63
941975,normal,2.23,3.75,5.0
957757,little_cold,2.01,3.9,4.65
958517,normal,2.08,3.75,4.08
957758,little_cold,3.2,3.55,2.88
958725,normal,2.22,3.7,4.52
1002341,little_cold,2.2,3.6,4.5
958803,normal,1.81,4.0,5.9
958641,normal,2.65,3.65,3.5
958794,little_cold,2.13,3.6,3.75
958663,little_cold,2.88,3.6,2.63
954508,big_cold,2.38,3.5,3.6
957764,normal,2.24,3.75,4.97
958813,normal,4.33,3.7,2.3
958645,normal,7.5,4.4,1.67
958652,little_cold,2.75,3.55,2.8
