,bisai,host,guest
975,763746,2,1
976,763747,0,1
977,763748,2,2
978,763749,0,1
979,763750,2,0
980,763751,3,2
981,763752,0,2
982,763753,4,1
983,763755,3,2
984,763756,2,6
985,763757,2,3
986,763758,2,1
987,763759,6,2
988,763760,4,1
989,764049,2,0
990,770848,1,2
991,770878,3,0
992,715065,4,0
993,764465,3,2
994,715559,1,2
995,721361,3,0
996,728096,1,1
997,728944,2,0
998,746500,0,6
999,746502,0,1
1000,746505,2,0
1001,750129,0,1
1002,750133,1,2
1003,750137,2,2
1004,750143,0,0
1005,750145,2,2
1006,750148,0,0
1007,750153,0,4
1008,750156,2,2
1009,764298,1,1
1010,764682,4,2
1011,764735,1,0
1012,770819,0,2
1013,708831,1,1
1014,708837,2,0
1015,709625,3,2
1016,709635,1,1
1017,709637,1,3
1018,709644,1,2
1019,709646,0,4
1020,711186,5,1
1021,711187,1,2
1022,711192,2,1
1023,711198,2,2
1024,715579,1,4
1025,764241,1,1
1026,764243,4,0
1027,703635,2,4
1028,705988,0,0
1029,706004,0,0
1030,706006,3,2
1031,706008,0,0
1032,706011,2,0
1033,706567,2,1
1034,706574,0,0
1035,706575,0,1
1036,706578,1,1
1037,706581,1,0
1038,706584,0,0
1039,706586,1,2
1040,706587,3,0
1041,706594,4,1
1042,706597,1,5
1043,706600,1,2
1044,707564,1,1
1045,708019,0,1
1046,708027,4,1
1047,708028,1,0
1048,708032,1,5
1049,708046,1,0
1050,708094,3,0
1051,708102,1,1
1052,708108,0,1
1053,708116,1,2
1054,708141,0,2
1055,708144,2,0
1056,708146,1,1
1057,708156,2,3
1058,708160,4,2
1059,708199,3,0
1060,708224,3,2
1061,708231,3,0
1062,708240,3,0
1063,708246,4,0
1064,711763,7,2
1065,711764,2,1
1066,711772,4,1
1067,723517,2,1
1068,724160,3,0
1069,724164,0,2
1070,724165,3,3
1071,724166,1,1
1072,724167,1,1
1073,724168,0,0
1074,724171,0,2
1075,724172,0,3
1076,724173,1,0
1077,724355,1,0
1078,724360,2,2
1079,724364,0,1
1080,724366,3,0
1081,724369,4,0
1082,724376,2,1
1083,724389,1,0
1084,724394,0,4
1085,724404,7,0
1086,724412,1,0
1087,725036,0,1
1088,725083,1,1
1089,725096,1,2
1090,725098,0,0
1091,725153,2,1
1092,726762,1,4
1093,726931,0,1
1094,733100,0,1
1095,733111,1,1
1096,733117,4,1
1097,733119,1,2
1098,733128,2,1
1099,733129,2,2
1100,733136,0,0
1101,733139,1,1
1102,733154,1,2
1103,733159,4,0
1104,733657,1,2
1105,733665,3,0
1106,733668,1,1
1107,733672,2,2
1108,733674,0,2
1109,733676,2,1
1110,733689,2,2
1111,733691,1,0
1112,733697,1,2
1113,733706,3,0
1114,734144,0,2
1115,737025,3,1
1116,737028,1,0
1117,738960,3,2
1118,739121,1,0
1119,740481,3,2
1120,741741,2,3
1121,741744,3,3
1122,741746,2,3
1123,741752,3,1
1124,741762,2,0
1125,742914,4,1
1126,743156,3,3
1127,746752,0,1
1128,746907,1,3
1129,746908,1,2
1130,746933,3,0
1131,746971,1,0
1132,746973,4,1
1133,746980,0,0
1134,746999,4,0
1135,747007,1,1
1136,747015,1,2
1137,747028,5,3
1138,753489,5,0
1139,763754,1,1
1140,764055,0,1
1141,764119,1,0
1142,764182,1,1
1143,764183,0,1
1144,764187,3,0
1145,764188,1,0
1146,764317,3,1
1147,764441,2,2
1148,764442,1,1
1149,764443,2,2
1150,764731,1,1
1151,764733,0,0
1152,764734,0,0
1153,764737,0,1
1154,770818,0,4
1155,764466,0,3
1156,736033,1,1
1157,741071,1,3
1158,743091,1,0
1159,705095,3,0
1160,702672,2,1
1161,714886,2,0
1162,715066,0,1
1163,717218,0,0
1164,721363,2,5
1165,729943,1,3
1166,764312,1,1
1167,703844,1,1
1168,738924,2,0
1169,739151,1,2
1170,745117,1,1
1171,764320,0,2
1172,741069,1,1
1173,741072,1,2
1174,704127,0,3
1175,704317,4,2
1176,704319,3,1
1177,728909,0,1
1178,764738,1,0
1179,704535,4,2
1180,708832,1,1
1181,717224,3,0
1182,726940,3,1
1183,734163,0,1
1184,736734,2,2
1185,737031,1,1
1186,739124,2,0
1187,739198,2,0
1188,742274,1,0
1189,764308,0,2
1190,764310,2,2
1191,764315,0,0
1192,764316,1,1
1193,764319,0,1
1194,764423,1,3
1195,764424,0,0
1196,764498,2,1
1197,770813,1,0
1198,770814,2,1
1199,770815,1,2
1200,746501,0,1
1201,703609,2,0
1202,703611,3,1
1203,703707,5,0
1204,704904,2,0
1205,704926,2,5
1206,706009,1,0
1207,709630,1,0
1208,736036,2,2
1209,741073,4,0
1210,743332,0,4
1211,746921,0,1
1212,759250,5,1
1213,764304,3,2
1214,764306,1,0
1215,764318,1,1
1216,764337,3,1
1217,717227,1,0
1218,742739,0,0
1219,764314,1,2
1220,729925,3,1
1221,729932,2,0
1222,681092,2,1
1223,681103,1,2
1224,713789,1,1
1225,714883,6,1
1226,729939,0,1
1227,739103,1,2
1228,764307,0,7
1229,764878,1,0
1230,704927,0,1
1231,705048,2,0
1232,705056,6,3
1233,705077,0,0
1234,705088,3,2
1235,702652,3,2
1236,702663,1,0
1237,702664,2,3
1238,702677,0,4
1239,704128,0,1
1240,704532,0,0
1241,704534,2,1
1242,704544,3,0
1243,713799,1,1
1244,713800,1,2
1245,713805,1,0
1246,713808,0,0
1247,734169,3,0
1248,740482,2,1
1249,740487,1,0
1250,728613,1,1
1251,728627,1,4
1252,739902,1,1
1253,704910,1,3
1254,704933,5,0
1255,728896,2,1
1256,736717,2,2
1257,714008,1,0
1258,714054,2,0
1259,716020,0,0
1260,716024,1,6
1261,716030,2,3
1262,743612,3,0
1263,743627,1,2
1264,743630,1,0
1265,770809,0,1
1266,717212,0,3
1267,734177,0,1
1268,734935,0,1
1269,739897,0,1
1270,716468,1,1
1271,728791,0,2
1272,743613,0,1
1273,764727,0,1
1274,728611,1,1
1275,714066,5,0
1276,734825,1,2
1277,739901,0,1
1278,716022,4,0
1279,760295,2,5
1280,760296,2,0
1281,764528,1,0
1282,705707,1,0
1283,752114,2,1
1284,764839,0,1
1285,722532,0,4
1286,716540,1,2
1287,716543,0,2
1288,716545,1,1
1289,717780,0,0
1290,735294,0,1
1291,735299,3,3
1292,738037,0,0
1293,738041,0,1
1294,738044,0,0
1295,738047,2,2
1296,738052,1,0
1297,738056,0,0
1298,753490,2,1
1299,753491,2,0
1300,715076,0,0
1301,739022,1,0
1302,717783,0,4
1303,730893,0,1
1304,730898,0,5
1305,734160,0,1
1306,738916,1,1
1307,738955,0,1
1308,739002,2,2
1309,739014,3,0
1310,739058,2,2
1311,739064,0,1
1312,739065,0,0
1313,739070,0,0
1314,739071,0,1
1315,739140,4,2
1316,739147,1,0
1317,739168,0,0
1318,739216,1,3
1319,739251,0,2
1320,739258,0,0
1321,740484,0,1
1322,743315,1,2
1323,745688,2,0
1324,753488,0,1
1325,753492,1,0
1326,753493,1,0
1327,763279,2,0
1328,720367,3,4
1329,738160,0,0
1330,739044,0,0
1331,704917,3,1
1332,728899,0,3
1333,728912,5,1
1334,735306,2,0
1335,736714,2,2
1336,743281,2,1
1337,743297,1,3
1338,743333,1,3
1339,745674,3,1
1340,745679,1,2
1341,745692,1,2
1342,745693,2,1
