bisai_id,predict_cold
855397,normal
859518,normal
883747,big_cold
846997,big_cold
882469,big_cold
880951,little_cold
860903,normal
919285,normal
882470,big_cold
904754,big_cold
881438,normal
861392,little_cold
880953,little_cold
854975,normal
919292,big_cold
858420,little_cold
918869,normal
919832,big_cold
919286,big_cold
854970,normal
883771,big_cold
891497,normal
896096,normal
919284,little_cold
920101,little_cold
869012,big_cold
855394,big_cold
880436,normal
904765,little_cold
896874,little_cold
879894,big_cold
895481,normal
884695,little_cold
880430,big_cold
858425,normal
862713,little_cold
883777,little_cold
874763,normal
891496,little_cold
880962,little_cold
878919,normal
906037,little_cold
884694,big_cold
919289,normal
919290,normal
880418,normal
919288,big_cold
878738,little_cold
880965,big_cold
869013,little_cold
861358,normal
881434,big_cold
879899,normal
894530,big_cold
905184,little_cold
859547,big_cold
876978,normal
861400,normal
880443,normal
921286,normal
883751,normal
886195,little_cold
924863,normal
924866,little_cold
911596,little_cold
884749,big_cold
885070,big_cold
885877,little_cold
875520,little_cold
875521,normal
882994,normal
884460,normal
889296,big_cold
906120,little_cold
875516,little_cold
879943,normal
876454,little_cold
875515,little_cold
882954,big_cold
897558,normal
882955,little_cold
875519,normal
885072,big_cold
876577,big_cold
884449,little_cold
923180,little_cold
885073,normal
878962,normal
876582,little_cold
880460,normal
895522,little_cold
882991,normal
875514,little_cold
896150,normal
875517,big_cold
882945,big_cold
906085,little_cold
882949,little_cold
882984,normal
882986,normal
904792,little_cold
919135,big_cold
875518,little_cold
891567,normal
882960,little_cold
914077,little_cold
882983,little_cold
880772,normal
875033,little_cold
882838,little_cold
896279,big_cold
880115,normal
880751,little_cold
893121,normal
906200,normal
911617,normal
939440,little_cold
881303,big_cold
940623,normal
880112,big_cold
930525,normal
940022,little_cold
881345,normal
880744,big_cold
943731,normal
935313,big_cold
895658,little_cold
880756,little_cold
905009,little_cold
876870,little_cold
895657,big_cold
884532,big_cold
931117,normal
880104,little_cold
930527,big_cold
934009,big_cold
881272,big_cold
884508,little_cold
938486,big_cold
941856,little_cold
877605,normal
884892,big_cold
905028,little_cold
934030,big_cold
905029,big_cold
882832,big_cold
943719,little_cold
885198,big_cold
877217,little_cold
939910,little_cold
934040,big_cold
880775,big_cold
875004,normal
930524,little_cold
906207,normal
906197,big_cold
904998,little_cold
875047,little_cold
896278,little_cold
905255,normal
931576,normal
881344,big_cold
932486,big_cold
885195,big_cold
885449,normal
896282,big_cold
877235,normal
905054,little_cold
880750,normal
884522,normal
881299,big_cold
877597,normal
926796,normal
941900,little_cold
882837,big_cold
896281,little_cold
932487,big_cold
939999,normal
882833,normal
882835,little_cold
882830,big_cold
929763,big_cold
881549,little_cold
931113,big_cold
943730,normal
929105,normal
875017,big_cold
943729,normal
884893,little_cold
926847,little_cold
943734,little_cold
